,RowNumber,CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
10,11,b'ZjVGSQnKdRZncZ9ft8PDdA4VBd2NWthv8iYJuajnajNDds17pQHS6A==',Bearce,b'ZjVGSQnKdRZncZ9ft8PDdA0PvZKFfQxrQJFAVeLZKJXF0L09nRi70w==',France,Male,31,b'ZjVGSQnKdRZncZ9ft8PDdA08rSAxJ9xL05B8cEsSVQTkl/grf7YH2w==',102016.72,2,0,0,80181.12,0
11,12,b'ZjVGSQnKdRZncZ9ft8PDdA4VBd2O3lwGHcGrUqCDQaT9ev31SpcGWw==',Andrews,b'ZjVGSQnKdRZncZ9ft8PDdA0f5wiod3CrBBW9IlK/iIhPJ0jnp/KWGQ==',Spain,Male,24,b'ZjVGSQnKdRZncZ9ft8PDdA42k1rEAZRnN9vk6tQtZmvIpGkMLAFHQA==',0.0,2,1,0,76390.01,0
12,13,b'ZjVGSQnKdRZncZ9ft8PDdA4VBdw8Dh+2nSCmr63t8VD1GD95tzDRBA==',Kay,b'ZjVGSQnKdRZncZ9ft8PDdA0f7/krcz5xOekL7cYNjq5kzdOFiD0YeQ==',France,Female,34,b'ZjVGSQnKdRZncZ9ft8PDdA4VEfMk9ebAtdfAdositHanPbNR8E8JqA==',0.0,2,1,0,26260.98,0
13,14,b'ZjVGSQnKdRZncZ9ft8PDdA4VBdw+PdNSTwRXPlyfKVWibbnCHdICvw==',Chin,b'ZjVGSQnKdRZncZ9ft8PDdA0PpREE58DCnFzDxu44jOcqA0jTKjdqjg==',France,Female,25,b'ZjVGSQnKdRZncZ9ft8PDdA0KHoDUe4cdEdh8/01VCF4t2LheTbf3DA==',0.0,2,0,0,190857.79,0
14,15,b'ZjVGSQnKdRZncZ9ft8PDdA4VBdw8MITUSBkplXioj3rtr2qyzVvykQ==',Scott,b'ZjVGSQnKdRZncZ9ft8PDdA0xln1eWo0mDT4bEagiWk3nFzK2c6nXDg==',Spain,Female,35,b'ZjVGSQnKdRZncZ9ft8PDdA0seVYcT7oKqN5yFMJexxp9P2dFYPmS9A==',0.0,2,1,1,65951.65,0
15,16,b'ZjVGSQnKdRZncZ9ft8PDdA4VBdw/Prp930mn+Z2zOwwXFO7KU1FKQw==',Goforth,b'ZjVGSQnKdRZncZ9ft8PDdA0xnt80/G0DZl5YoGs6exLndXf10MQfUw==',Germany,Male,45,b'ZjVGSQnKdRZncZ9ft8PDdA42k1rEAZRnN9vk6tQtZmvIpGkMLAFHQA==',143129.41,2,0,1,64327.26,0
16,17,b'ZjVGSQnKdRZncZ9ft8PDdA4VBd2O3lxOCbzK1Bfgrv9qM4TEBVqNfQ==',Romeo,b'ZjVGSQnKdRZncZ9ft8PDdA0xjgvxefqTpmNZkfY1FDGQfGyhvucEGA==',Germany,Male,58,b'ZjVGSQnKdRZncZ9ft8PDdA4QBxPYApxBZ5O1wgvkZFW1mqyX1a7PPw==',132602.88,1,1,0,5097.67,1
17,18,b'ZjVGSQnKdRZncZ9ft8PDdA4VBd2MgDKflArGLZDi0P4H2tNB3CKNRA==',Henderson,b'ZjVGSQnKdRZncZ9ft8PDdA0PpREE58DCnFzDxu44jOcqA0jTKjdqjg==',Spain,Female,24,b'ZjVGSQnKdRZncZ9ft8PDdAz30d5V+lXJdd0SrarfN5v1AGy797RD2Q==',0.0,2,1,1,14406.41,0
18,19,b'ZjVGSQnKdRZncZ9ft8PDdA4VBdw/ELip6/FqAhS3TKixPghRjGu+1g==',Muldrow,b'ZjVGSQnKdRZncZ9ft8PDdA0Pk9hTTSFu0G1CLqruQaL14/wEs/lnlg==',Spain,Male,45,b'ZjVGSQnKdRZncZ9ft8PDdA08rSAxJ9xL05B8cEsSVQTkl/grf7YH2w==',0.0,1,0,0,158684.81,0
19,20,b'ZjVGSQnKdRZncZ9ft8PDdA4VBd8ydWRz7aPzjSJY6pQR1Yj2qGLZhQ==',Hao,b'ZjVGSQnKdRZncZ9ft8PDdA0hODEH4/fqpMB+60EejkxAmL3ohBZgzA==',France,Female,24,b'ZjVGSQnKdRZncZ9ft8PDdA08rSAxJ9xL05B8cEsSVQTkl/grf7YH2w==',0.0,2,1,1,54724.03,0
20,21,b'ZjVGSQnKdRZncZ9ft8PDdA4VBd8yZWaCjBoFegXtDkdwo7nS1sA2Ng==',McDonald,b'ZjVGSQnKdRZncZ9ft8PDdA0hPA8WKF3wHVVMDrhAzlO5R0iErT3R+A==',France,Male,41,b'ZjVGSQnKdRZncZ9ft8PDdAznf3ElUcBRFXnmUkfCrX7P86wT0Kq5MA==',0.0,2,1,1,170886.17,0
21,22,b'ZjVGSQnKdRZncZ9ft8PDdA4VBd8zrdWh11ag8+Qpbjbu8U2cV6bpaA==',Dellucci,b'ZjVGSQnKdRZncZ9ft8PDdA0xln6z1Sl8P7s+ZTZL6CRWlLOrpUeKew==',Spain,Female,32,b'ZjVGSQnKdRZncZ9ft8PDdAznf3ElUcBRFXnmUkfCrX7P86wT0Kq5MA==',0.0,2,1,0,138555.46,0
22,23,b'ZjVGSQnKdRZncZ9ft8PDdA4VBdw+Pf3se8UKp1W+OEtgS3KyK7Hcgw==',Gerasimov,b'ZjVGSQnKdRZncZ9ft8PDdA0Psc2nlV3hSAP0qCFZMIssQqNCRtP8AQ==',Spain,Female,38,b'ZjVGSQnKdRZncZ9ft8PDdA0agGv3FQxGez8eANvWBAy05KMrvTl/Og==',0.0,1,1,0,118913.53,1
23,24,b'ZjVGSQnKdRZncZ9ft8PDdA4VBd2Ozr29Nvy9iNkCdagrVEXchsZJIg==',Mosman,b'ZjVGSQnKdRZncZ9ft8PDdA0xgp7Fy6zpLSLsoAxNqFnBV40DH8tRcQ==',France,Male,46,b'ZjVGSQnKdRZncZ9ft8PDdA42k1rEAZRnN9vk6tQtZmvIpGkMLAFHQA==',0.0,2,0,1,8487.75,0
24,25,b'ZjVGSQnKdRZncZ9ft8PDdA4VBdw8HiG7N9LWLcmj1DUXW2PV63bqlw==',Yen,b'ZjVGSQnKdRZncZ9ft8PDdAziZ6c7AWeI96ntc1iuMRFLrXS7Lc+wYA==',France,Female,38,b'ZjVGSQnKdRZncZ9ft8PDdA0KHoDUe4cdEdh8/01VCF4t2LheTbf3DA==',0.0,1,1,1,187616.16,0
25,26,b'ZjVGSQnKdRZncZ9ft8PDdA4VBd2O3lgdd5+6wKbxYzNhNqDVFc/lqA==',Maclean,b'ZjVGSQnKdRZncZ9ft8PDdA0Pl5LXb3gpYIWV2lOKcH95ybjoGRB8CQ==',France,Male,25,b'ZjVGSQnKdRZncZ9ft8PDdA42k1rEAZRnN9vk6tQtZmvIpGkMLAFHQA==',0.0,2,0,1,124508.29,0
26,27,b'ZjVGSQnKdRZncZ9ft8PDdA4VBd2O3mZBNJFnk2dCsHB+PYthyagyAw==',Young,b'ZjVGSQnKdRZncZ9ft8PDdA0hJIz5L9s+XrLcbLnTPbDro4MLbmeLbA==',Germany,Male,36,b'ZjVGSQnKdRZncZ9ft8PDdA4m6TWdTjQKU1+WpbCsRcxS5LdGm5Kq1Q==',136815.64,1,1,1,170041.95,0
27,28,b'ZjVGSQnKdRZncZ9ft8PDdA4VBd2O4LmMSiT9MjnHRlLoFnNyNfoopA==',Nebechi,b'ZjVGSQnKdRZncZ9ft8PDdA0Pl9l81dQJ88X45HDUMiHsqWMk3LdYaw==',France,Male,44,b'ZjVGSQnKdRZncZ9ft8PDdAz30d5V+lXJdd0SrarfN5v1AGy797RD2Q==',0.0,2,0,0,38433.35,0
28,29,b'ZjVGSQnKdRZncZ9ft8PDdA4VBd2Ozo9lZytdXTnHtBGrub6YJtMTBA==',McWilliams,b'ZjVGSQnKdRZncZ9ft8PDdA0Pl5EKGCuOGqq9lDkUKmZbeJ91GYpIRQ==',Germany,Female,43,b'ZjVGSQnKdRZncZ9ft8PDdA42k1rEAZRnN9vk6tQtZmvIpGkMLAFHQA==',141349.43,1,1,1,100187.43,0
29,30,b'ZjVGSQnKdRZncZ9ft8PDdA4VBdw/Lqq5HmjIRwX872jNy58bP9DBVA==',Lucciano,b'ZjVGSQnKdRZncZ9ft8PDdA0fyVSmNdbyMIGSwUXVhlyJzrd5qvy9UQ==',France,Male,29,b'ZjVGSQnKdRZncZ9ft8PDdA4Ahb9d6F4rAJ/o8NTNS3mgPQN5/JXoqw==',59697.17,2,1,1,53483.21,0
30,31,b'ZjVGSQnKdRZncZ9ft8PDdA4VBd8zvbwruqJea9ogb55icgMggkDbdQ==',Azikiwe,b'ZjVGSQnKdRZncZ9ft8PDdA0Pn4RZOYZ6q+SgK/vi8Fa3vOgm14qaXA==',Spain,Female,39,b'ZjVGSQnKdRZncZ9ft8PDdA42k1rEAZRnN9vk6tQtZmvIpGkMLAFHQA==',0.0,3,1,0,140469.38,1
31,32,b'ZjVGSQnKdRZncZ9ft8PDdA4VBd2O4KFUls6ck51inZX0mrg9GE5dCg==',Odinakachukwu,b'ZjVGSQnKdRZncZ9ft8PDdA0PuUESf7svZHSA9wCT4EcBIdH2H9cqLg==',France,Male,36,b'ZjVGSQnKdRZncZ9ft8PDdA0seVYcT7oKqN5yFMJexxp9P2dFYPmS9A==',85311.7,1,0,1,156731.91,0
32,33,b'ZjVGSQnKdRZncZ9ft8PDdA4VBd2NZBKJI4/l+BMpCAs9pv1keLLy5A==',Sanderson,b'ZjVGSQnKdRZncZ9ft8PDdA0Poe+x4w7v/2bycBEIN8bFRlnwIfJfYA==',Germany,Male,41,b'ZjVGSQnKdRZncZ9ft8PDdAz30d5V+lXJdd0SrarfN5v1AGy797RD2Q==',110112.54,2,0,0,81898.81,0
33,34,b'ZjVGSQnKdRZncZ9ft8PDdA4VBdw/LpjeFmR4ixk35C4/Au61a1fYvg==',Maggard,b'ZjVGSQnKdRZncZ9ft8PDdA0PvdE3fva3jdwKRKiiKdoFkm9N5BDtiA==',Spain,Female,42,b'ZjVGSQnKdRZncZ9ft8PDdA08rSAxJ9xL05B8cEsSVQTkl/grf7YH2w==',0.0,2,1,1,34410.55,0
34,35,b'ZjVGSQnKdRZncZ9ft8PDdA4VBd2O3nZjGQ2sbeCeneJmMoVfxzMH3g==',Clements,b'ZjVGSQnKdRZncZ9ft8PDdA0hOHpLiGZto7MIIdRRC+DNmhuBMl6QOw==',Spain,Female,29,b'ZjVGSQnKdRZncZ9ft8PDdAz30d5V+lXJdd0SrarfN5v1AGy797RD2Q==',0.0,2,1,1,142033.07,0
35,36,b'ZjVGSQnKdRZncZ9ft8PDdA4VBd2MkOR5irjakf8CC/LQoXkrd5vbEg==',Lombardo,b'ZjVGSQnKdRZncZ9ft8PDdA0f7/qUuQebOkilhrnDjmTDPInDLAdOAQ==',France,Female,45,b'ZjVGSQnKdRZncZ9ft8PDdA4Ahb9d6F4rAJ/o8NTNS3mgPQN5/JXoqw==',134264.04,1,1,0,27822.99,1
36,37,b'ZjVGSQnKdRZncZ9ft8PDdA4VBd2MgDLWvBnD4NBZ9ljrQzs77KNgEg==',Watson,b'ZjVGSQnKdRZncZ9ft8PDdA0f50wmfPY4CVDs8DrXSXwVcbPecrYa4w==',Spain,Male,31,b'ZjVGSQnKdRZncZ9ft8PDdA42k1rEAZRnN9vk6tQtZmvIpGkMLAFHQA==',145260.23,1,0,1,114066.77,0
37,38,b'ZjVGSQnKdRZncZ9ft8PDdA4VBd2OzoO6y2T3WoM4ZQImYbtpsDXQgA==',Lorenzo,b'ZjVGSQnKdRZncZ9ft8PDdAzid++XJ6sxa1LoEZ6IPv1/jCY3IzKt8A==',Spain,Male,33,b'ZjVGSQnKdRZncZ9ft8PDdA0seVYcT7oKqN5yFMJexxp9P2dFYPmS9A==',76548.6,1,0,1,98453.45,0
38,39,b'ZjVGSQnKdRZncZ9ft8PDdA4VBd2O8Ps5r8BkV2qG0ntZtWDSE7SXSw==',Armstrong,b'ZjVGSQnKdRZncZ9ft8PDdAziYzKBqnXbIwejnfRKmhNlH12ItCd7qw==',France,Male,36,b'ZjVGSQnKdRZncZ9ft8PDdA0seVYcT7oKqN5yFMJexxp9P2dFYPmS9A==',0.0,1,1,1,40812.9,0
39,40,b'ZjVGSQnKdRZncZ9ft8PDdA4VBd8zvYIpYahGlC/Eq5a9bKLLh/S08w==',Cameron,b'ZjVGSQnKdRZncZ9ft8PDdA0Pk5Jm9U9fS4CwAvCk2J1bb/NnI0Rp7A==',Germany,Male,41,b'ZjVGSQnKdRZncZ9ft8PDdA08rSAxJ9xL05B8cEsSVQTkl/grf7YH2w==',70349.48,2,0,1,178074.04,0
40,41,b'ZjVGSQnKdRZncZ9ft8PDdA4VBdw8IDGc3Bp2blKKASWu0TcG/rLKhg==',Hsiao,b'ZjVGSQnKdRZncZ9ft8PDdA0f77L5dpWqM4ia7NT9ajfKYiPwlk7U5Q==',Spain,Male,40,b'ZjVGSQnKdRZncZ9ft8PDdA0agGv3FQxGez8eANvWBAy05KMrvTl/Og==',0.0,1,1,0,70154.22,0
41,42,b'ZjVGSQnKdRZncZ9ft8PDdA4VBd2O3lgddh8uOmShB/h52lUaJMtIMw==',Clarke,b'ZjVGSQnKdRZncZ9ft8PDdA0f1ajGTC41tt+y938jp2ZdlN6RtBvljw==',France,Female,51,b'ZjVGSQnKdRZncZ9ft8PDdAznf3ElUcBRFXnmUkfCrX7P86wT0Kq5MA==',122522.32,1,0,0,181297.65,1
42,43,b'ZjVGSQnKdRZncZ9ft8PDdA4VBdw+LX7lW4eyq7Mg1p0fSgVsS8TSVA==',Osborne,b'ZjVGSQnKdRZncZ9ft8PDdA0PoadpWyyBuuXqAQEkPlOiaVKNnCwrcA==',France,Female,61,b'ZjVGSQnKdRZncZ9ft8PDdA4m6TWdTjQKU1+WpbCsRcxS5LdGm5Kq1Q==',117419.35,1,1,1,94153.83,0
43,44,b'ZjVGSQnKdRZncZ9ft8PDdA4VBd2NZAZoaUJBRhF+XVsaqW5/ET4TqQ==',Lavine,b'ZjVGSQnKdRZncZ9ft8PDdAzie6iKe3SI09UhsKYKWL7oQHhT2+DKYw==',France,Female,49,b'ZjVGSQnKdRZncZ9ft8PDdA4m6TWdTjQKU1+WpbCsRcxS5LdGm5Kq1Q==',131394.56,1,0,0,194365.76,1
44,45,b'ZjVGSQnKdRZncZ9ft8PDdA4VBdw+LUwZ2MQvGqEYaZCglLRuuruYIQ==',Bianchi,b'ZjVGSQnKdRZncZ9ft8PDdA0xgtwXFBbadOnvt4zbpTRMSoNFDiODfw==',Spain,Female,61,b'ZjVGSQnKdRZncZ9ft8PDdA0KHoDUe4cdEdh8/01VCF4t2LheTbf3DA==',155931.11,1,1,1,158338.39,0
45,46,b'ZjVGSQnKdRZncZ9ft8PDdA4VBd2NZAIJd0UkULW6DDByYQQ6sLilpg==',Tyler,b'ZjVGSQnKdRZncZ9ft8PDdA0hEh+x6YeFe5LVXtRwRelyLxKUVuWY+Q==',Germany,Female,32,b'ZjVGSQnKdRZncZ9ft8PDdA0agGv3FQxGez8eANvWBAy05KMrvTl/Og==',109421.13,2,1,1,126517.46,0
46,47,b'ZjVGSQnKdRZncZ9ft8PDdA4VBdw8MIxg9d7C1TkGQPHrz11/ZNs15g==',Martin,b'ZjVGSQnKdRZncZ9ft8PDdAzifyRkFn/WxhMH2+BaRVp9SGHtEGKRkw==',Germany,Female,27,b'ZjVGSQnKdRZncZ9ft8PDdAz30d5V+lXJdd0SrarfN5v1AGy797RD2Q==',112045.67,1,1,1,119708.21,1
47,48,b'ZjVGSQnKdRZncZ9ft8PDdA4VBd2NSqPq1qC63t227RL/sNucOmpGJA==',Okagbue,b'ZjVGSQnKdRZncZ9ft8PDdA0xln+8P9uukv0nY1XxrlG1JuKPb8Oa5A==',Germany,Female,39,b'ZjVGSQnKdRZncZ9ft8PDdAz30d5V+lXJdd0SrarfN5v1AGy797RD2Q==',137843.8,1,1,1,117622.8,1
48,49,b'ZjVGSQnKdRZncZ9ft8PDdA4VBd2NWuI5uQoOG3qrckpL8hWdff8gEA==',Yin,b'ZjVGSQnKdRZncZ9ft8PDdA0PoeLWohvc8DS9voRZs/iiMKV3RJNuiw==',Germany,Male,38,b'ZjVGSQnKdRZncZ9ft8PDdA4m6TWdTjQKU1+WpbCsRcxS5LdGm5Kq1Q==',103391.38,1,0,1,90878.13,0
49,50,b'ZjVGSQnKdRZncZ9ft8PDdA4VBd2NSqPvgHeJPjkjP2HSPTUpxMxipA==',Buccho,b'ZjVGSQnKdRZncZ9ft8PDdA0hEh+x6YeFe5LVXtRwRelyLxKUVuWY+Q==',Germany,Female,37,b'ZjVGSQnKdRZncZ9ft8PDdA4m6TWdTjQKU1+WpbCsRcxS5LdGm5Kq1Q==',103769.22,2,1,0,194099.12,0
50,51,b'ZjVGSQnKdRZncZ9ft8PDdA4VBdw8IAMeCvshz9Grl6BIq4kxB15jbQ==',Chidiebele,b'ZjVGSQnKdRZncZ9ft8PDdA0xsDnrcEUUCD2sByc/17YLRM1VQnq2Bg==',Germany,Male,44,b'ZjVGSQnKdRZncZ9ft8PDdA4VEfMk9ebAtdfAdositHanPbNR8E8JqA==',116363.37,2,1,0,198059.16,0
51,52,b'ZjVGSQnKdRZncZ9ft8PDdA4VBd2NWtxXres12XdFNJlBKljAlmGZTw==',Trevisani,b'ZjVGSQnKdRZncZ9ft8PDdA0Pk9ovqSjTc46YXajSsaUIgxNpapHbAQ==',Germany,Male,36,b'ZjVGSQnKdRZncZ9ft8PDdA0KHoDUe4cdEdh8/01VCF4t2LheTbf3DA==',146050.97,2,0,0,86424.57,0
52,53,b'ZjVGSQnKdRZncZ9ft8PDdA4VBdw+LVC0iUAGNEck7mUxWBRrFKvXKQ==',O'Brien,b'ZjVGSQnKdRZncZ9ft8PDdA0hFl6hnP6v626hgee165SIaF7byBDB8A==',France,Female,33,b'ZjVGSQnKdRZncZ9ft8PDdA0KHoDUe4cdEdh8/01VCF4t2LheTbf3DA==',0.0,2,0,0,116978.19,0
53,54,b'ZjVGSQnKdRZncZ9ft8PDdA4VBd2O4LFouuHxmiQVmGbDe2PUrlyw1A==',Parkhill,b'ZjVGSQnKdRZncZ9ft8PDdA0xjkC4C2MFi33kO+jbAwjCTq1ygDVh+A==',Germany,Male,41,b'ZjVGSQnKdRZncZ9ft8PDdAznf3ElUcBRFXnmUkfCrX7P86wT0Kq5MA==',125561.97,1,0,0,164040.94,1
54,55,b'ZjVGSQnKdRZncZ9ft8PDdA4VBd8ydWhlCGpy9+rBLG/V6jTn8i16KA==',Yoo,b'ZjVGSQnKdRZncZ9ft8PDdA0xmhsTib7wlhK76LsoKHlLVjpGfhiqcQ==',Germany,Male,42,b'ZjVGSQnKdRZncZ9ft8PDdA4QBxPYApxBZ5O1wgvkZFW1mqyX1a7PPw==',98495.72,1,1,0,40014.76,1
55,56,b'ZjVGSQnKdRZncZ9ft8PDdA4VBd2NWvqHfCr+tJGu9bvCFdSvlp05tQ==',Phillipps,b'ZjVGSQnKdRZncZ9ft8PDdA0xntg2hd7wLT7XzfxeymLwgXPb5FXsig==',France,Male,43,b'ZjVGSQnKdRZncZ9ft8PDdA4QBxPYApxBZ5O1wgvkZFW1mqyX1a7PPw==',125211.92,1,1,1,113410.49,0
56,57,b'ZjVGSQnKdRZncZ9ft8PDdA4VBdw8DhcvUpIes/PDXnVx5suoeSsGjA==',Tsao,b'ZjVGSQnKdRZncZ9ft8PDdA0xjkMOpL5ZrROUCRU9oGKtMnpD2o4jtQ==',France,Male,45,b'ZjVGSQnKdRZncZ9ft8PDdA0KHoDUe4cdEdh8/01VCF4t2LheTbf3DA==',127864.4,1,1,0,87107.57,0
57,58,b'ZjVGSQnKdRZncZ9ft8PDdA4VBdw/PpQKimUbe2YTgKcIJYuy/HHbVg==',Endrizzi,b'ZjVGSQnKdRZncZ9ft8PDdA0hODLug774m/0fqGSyq49ejbas/Qqa8Q==',Germany,Male,19,b'ZjVGSQnKdRZncZ9ft8PDdA4Ahb9d6F4rAJ/o8NTNS3mgPQN5/JXoqw==',75888.2,1,0,0,45613.75,0
58,59,b'ZjVGSQnKdRZncZ9ft8PDdA4VBdw8Hjlu/7Fy77tWs5FxLUlwGjH1Ag==',T'ien,b'ZjVGSQnKdRZncZ9ft8PDdA0PscKScUuwNjXuLW7iZ9f8a8uNru94vA==',Spain,Female,66,b'ZjVGSQnKdRZncZ9ft8PDdA0agGv3FQxGez8eANvWBAy05KMrvTl/Og==',0.0,1,1,0,1643.11,1
59,60,b'ZjVGSQnKdRZncZ9ft8PDdA4VBdqaxIDGxUdBlxMM0/QBVFsPbYstig==',Velazquez,b'ZjVGSQnKdRZncZ9ft8PDdA0xnt1O1C6MYajIxFubUfptWAClmn2vSQ==',France,Male,51,b'ZjVGSQnKdRZncZ9ft8PDdA0agGv3FQxGez8eANvWBAy05KMrvTl/Og==',40685.92,1,1,1,46775.28,0
60,61,b'ZjVGSQnKdRZncZ9ft8PDdA4VBdw/LrahtfXIuwG1O9f7DYSNuR/M6A==',Hunter,b'ZjVGSQnKdRZncZ9ft8PDdA0hIMgBmEUQ0vLVGg6h5QhWpopLBwgCiQ==',Germany,Male,35,b'ZjVGSQnKdRZncZ9ft8PDdA0KHoDUe4cdEdh8/01VCF4t2LheTbf3DA==',136857.0,1,0,0,84509.57,0
61,62,b'ZjVGSQnKdRZncZ9ft8PDdA4VBd2NSqtuE9iB+Z+oYdp5AvPuiW6OCQ==',Clark,b'ZjVGSQnKdRZncZ9ft8PDdA0xvFzGzjht9GHrZGlKR/ieS/69DxJgzg==',Germany,Female,27,b'ZjVGSQnKdRZncZ9ft8PDdAz30d5V+lXJdd0SrarfN5v1AGy797RD2Q==',152328.88,2,0,0,126494.82,0
62,63,b'ZjVGSQnKdRZncZ9ft8PDdA4VBd2O4LFm/ZpWWzZUb2o+Q8CIg6RAMg==',Jeffrey,b'ZjVGSQnKdRZncZ9ft8PDdA0PoaTIGeFG4DJaDZ23VZ/xsuziaS/GlQ==',Spain,Male,33,b'ZjVGSQnKdRZncZ9ft8PDdA4QBxPYApxBZ5O1wgvkZFW1mqyX1a7PPw==',56084.69,2,0,0,178798.13,0
63,64,b'ZjVGSQnKdRZncZ9ft8PDdA4VBd2NZBaa8cNdv7mnf1cloliBy34w1g==',Pirozzi,b'ZjVGSQnKdRZncZ9ft8PDdA0xvF+EUoCUPQnu/+xxKCcaZJSgUmGUlQ==',Spain,Male,56,b'ZjVGSQnKdRZncZ9ft8PDdAznf3ElUcBRFXnmUkfCrX7P86wT0Kq5MA==',78707.16,1,1,1,99398.36,0
64,65,b'ZjVGSQnKdRZncZ9ft8PDdA4VBd8zrf9kNBOM2ewO6J8/BXvshsKrIQ==',Jackson,b'ZjVGSQnKdRZncZ9ft8PDdA0xmhnW/ZVg5RiRFNtxKfjTf7H4qnX6cw==',Germany,Male,26,b'ZjVGSQnKdRZncZ9ft8PDdA0agGv3FQxGez8eANvWBAy05KMrvTl/Og==',109166.37,1,1,1,92840.67,0
65,66,b'ZjVGSQnKdRZncZ9ft8PDdA4VBd2MgD7l/3x3MimfIl+QBknSAX5/mQ==',Hammond,b'ZjVGSQnKdRZncZ9ft8PDdA0hJMbEmgkIjwfeVrP1EJC+2nBY7EFujA==',Germany,Female,36,b'ZjVGSQnKdRZncZ9ft8PDdA08rSAxJ9xL05B8cEsSVQTkl/grf7YH2w==',169831.46,2,1,1,27758.36,0
